,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category
0,64319,Littlegreencyclo LLC,Off The Grid-Upper Haight,San Francisco,CA,,37.777122,-122.41963899999999,2016-02-19,100.0,
1,4372,CLUB PUERTORRIQUENO OF SF INC.,3249A MISSION St,San Francisco,CA,94110,37.744901,-122.420273,2016-02-26,100.0,
2,67606,Mayo & Mustard,75 Hawthorne,San Francisco,CA,94105,37.785144,-122.39838300000001,2016-02-26,96.0,Low Risk
3,5291,EL TONAYENSE CATERING TRUCK #2,3101 19th St,San Francisco,CA,94110,37.760583000000004,-122.41323899999999,2016-02-29,90.0,Low Risk
4,35503,Left Coast Catering and Cafe,2152 03rd St,San Francisco,CA,94107,37.762368,-122.38887700000001,2016-03-11,98.0,Low Risk
5,70138,Thrive Cleanse,3330 Steiner St,San Francisco,CA,94123,37.799955,-122.43767700000001,2016-03-11,92.0,Low Risk
6,63773,Irish Times Bar and Grill,500 Sacramento St,San Francisco,CA,94111,37.79407,-122.401269,2016-03-15,92.0,Low Risk
7,67176,The Melt,1 Embarcadero Center,San Francisco,CA,94111,37.794588,-122.39964199999999,2016-04-14,100.0,
8,1567,TANPOPO,1740 BUCHANAN St,San Francisco,CA,94115,37.785961,-122.429776,2016-04-19,87.0,Low Risk
9,33012,Chiaro Scuro,550 Washington St,San Francisco,CA,94111,37.795671,-122.40246,2016-04-26,100.0,
10,951,KENTUCKY FRIED CHICKEN #50,1900 Irving St,San Francisco,CA,94122,37.763528,-122.478362,2016-04-26,88.0,Low Risk
11,7361,PastaGina,741 Diamond St,San Francisco,CA,94114,37.751403,-122.43628600000001,2016-05-03,86.0,Moderate Risk
12,420,Buster's,366 Columbus Ave,San Francisco,CA,94133,37.798444,-122.407444,2016-05-04,78.0,Low Risk
13,18126,Tacos San Buena,768 Sansome St,San Francisco,CA,94111,37.797327,-122.40195700000001,2016-05-06,96.0,Moderate Risk
14,63624,Seoul on Wheels,Fort Mason,San Francisco,CA,,37.804012,-122.42804,2016-05-11,93.0,High Risk
15,62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,,37.777122,-122.41963899999999,2016-05-11,86.0,Low Risk
16,3690,BENIHANA OF TOKYO,1737 POST St,San Francisco,CA,94115,37.785457,-122.43031699999999,2016-05-17,96.0,Low Risk
17,68263,MV Taurus,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-05-18,100.0,
18,2858,Kokkari,200 Jackson St,San Francisco,CA,94111,37.796918,-122.399864,2016-05-18,87.0,Low Risk
19,13313,MV Solano,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-05-18,100.0,
