,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,inspection_date,inspection_score,risk_category,rating,price,review_count,open,close
0,64319,Littlegreencyclo LLC,Off The Grid-Upper Haight,San Francisco,CA,,37.777122,-122.41963899999999,2016-02-19,100.0,,4.5,$,242.0,0900,0900
1,4372,CLUB PUERTORRIQUENO OF SF INC.,3249A MISSION St,San Francisco,CA,94110,37.744901,-122.420273,2016-02-26,100.0,,3.5,$,83.0,1030,2030
2,67606,Mayo & Mustard,75 Hawthorne,San Francisco,CA,94105,37.785144,-122.39838300000001,2016-02-26,96.0,Low Risk,3.5,$,601.0,1130,1500
3,5291,EL TONAYENSE CATERING TRUCK #2,3101 19th St,San Francisco,CA,94110,37.760583000000004,-122.41323899999999,2016-02-29,90.0,Low Risk,,,,,
4,5437,Stanley's Steamers,NW Corner Post at Stockton St (N/W),San Francisco,CA,94108,37.791585999999995,-122.408452,2016-03-02,100.0,,3.5,$,45.0,0700,1900
5,34331,Stanley's Steamers,NW Corner Grant at Geary St on Grant,San Francisco,CA,,37.787954,-122.40503500000001,2016-03-02,100.0,,,,,,
6,35503,Left Coast Catering and Cafe,2152 03rd St,San Francisco,CA,94107,37.762368,-122.38887700000001,2016-03-11,98.0,Low Risk,,,,,
7,70138,Thrive Cleanse,3330 Steiner St,San Francisco,CA,94123,37.799955,-122.43767700000001,2016-03-11,92.0,Low Risk,,,,,
8,63773,Irish Times Bar and Grill,500 Sacramento St,San Francisco,CA,94111,37.79407,-122.401269,2016-03-15,92.0,Low Risk,,,,,
9,67176,The Melt,1 Embarcadero Center,San Francisco,CA,94111,37.794588,-122.39964199999999,2016-04-14,100.0,,,,,,
10,1567,TANPOPO,1740 BUCHANAN St,San Francisco,CA,94115,37.785961,-122.429776,2016-04-19,87.0,Low Risk,4.0,$$,715.0,1700,2200
11,33012,Chiaro Scuro,550 Washington St,San Francisco,CA,94111,37.795671,-122.40246,2016-04-26,100.0,,3.0,$,1297.0,1100,0200
12,951,KENTUCKY FRIED CHICKEN #50,1900 Irving St,San Francisco,CA,94122,37.763528,-122.478362,2016-04-26,88.0,Low Risk,4.0,$$,1447.0,1700,2200
13,7361,PastaGina,741 Diamond St,San Francisco,CA,94114,37.751403,-122.43628600000001,2016-05-03,86.0,Moderate Risk,2.5,$$,315.0,0600,0000
14,420,Buster's,366 Columbus Ave,San Francisco,CA,94133,37.798444,-122.407444,2016-05-04,78.0,Low Risk,4.0,$$,553.0,1700,2200
15,18126,Tacos San Buena,768 Sansome St,San Francisco,CA,94111,37.797327,-122.40195700000001,2016-05-06,96.0,Moderate Risk,4.5,$,232.0,0530,2200
16,63624,Seoul on Wheels,Fort Mason,San Francisco,CA,,37.804012,-122.42804,2016-05-11,93.0,High Risk,,,,,
17,62710,Sam's Chowder Mobile,Golden Gate Park,San Francisco,CA,,37.777122,-122.41963899999999,2016-05-11,86.0,Low Risk,,,,,
18,3690,BENIHANA OF TOKYO,1737 POST St,San Francisco,CA,94115,37.785457,-122.43031699999999,2016-05-17,96.0,Low Risk,,,,,
19,68263,MV Taurus,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-05-18,100.0,,,,,,
20,2858,Kokkari,200 Jackson St,San Francisco,CA,94111,37.796918,-122.399864,2016-05-18,87.0,Low Risk,,,,,
21,13313,MV Solano,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-05-18,100.0,,4.0,$$,305.0,1730,2200
22,68261,MV Pisces,Pier 41,San Francisco,CA,94133,37.808494,-122.412,2016-05-18,94.0,Moderate Risk,3.5,$,121.0,0930,2100
23,3616,THE LIBERTIES IRISH BAR & REST.,0994 GUERRERO St,San Francisco,CA,94110,37.75527,-122.42325600000001,2016-05-25,90.0,Low Risk,4.0,$,174.0,0700,2000
24,67124,Alicia's Tamales Los Mayas,Justin Herman Plaza,San Francisco,CA,,37.777122,-122.41963899999999,2016-05-28,86.0,Moderate Risk,,,,,
25,38822,Contigo,1320 Castro St,San Francisco,CA,94114,37.750908,-122.434075,2016-06-01,94.0,Low Risk,3.5,$$,1631.0,1100,2100
26,429,Calzone's,430 Columbus Ave,San Francisco,CA,94133,37.798965,-122.408204,2016-06-02,87.0,Low Risk,2.5,$$,362.0,0500,0000
27,66895,Izakaya Yuzuki,598 GUERRERO St,San Francisco,CA,94110,37.761603,-122.423869,2016-06-03,88.0,Moderate Risk,4.0,$$$$,1168.0,1130,2100
28,1344,Beanery,1307 09th Ave,San Francisco,CA,94122,37.758941,-122.48591,2016-06-09,100.0,,3.5,$$,332.0,1630,2100
29,5610,NY Frankfurter / Hot Dog Cart,Civic Center-Polkk/McAllister,San Francisco,CA,94102,37.779847,-122.418985,2016-06-23,96.0,Moderate Risk,,,,,
30,68254,Four Barrel Coffee,2599 San Bruno Ave,San Francisco,CA,94103,37.776416999999995,-122.43803700000001,2016-06-28,90.0,Low Risk,,,,,
31,12199,El Gallo Giro,3055 23rd St,San Francisco,CA,,37.754218,-122.41328500000002,2016-06-28,92.0,Low Risk,4.5,$$,280.0,0900,1800
32,68808,"Shabuway, Men-Oh",5120 GEARY Blvd,San Francisco,CA,94118,37.780674,-122.47424299999999,2016-06-28,82.0,Low Risk,,,,,
33,32992,Underdog,1634 Irving St,San Francisco,CA,94122,37.763658,-122.475682,2016-07-07,93.0,High Risk,,,,,
34,14075,BLUE BOTTLE COFFEE LLC,315 LINDEN ST,San Francisco,CA,94102,37.776340000000005,-122.423099,2016-07-11,94.0,Low Risk,3.5,$$,782.0,1130,2100
35,9710,RICKSHAW STOP,155 FELL ST,San Francisco,CA,94102,37.776223,-122.420497,2016-07-11,94.0,Low Risk,,,,,
36,10615,Rulli Risto-Bar,2300 Chestnut St.,San Francisco,CA,94123,37.800188,-122.44145400000001,2016-07-13,96.0,Moderate Risk,,,,,
37,62051,Parada 22,1805 HAIGHT St,San Francisco,CA,94117,37.769303,-122.45196100000001,2016-07-20,82.0,High Risk,,,,,
38,69653,Izakaya Roku,1819 Market St,San Francisco,CA,94103,37.7714,-122.42388700000001,2016-07-22,88.0,Low Risk,,,,,
39,1026,PHUKET THAI RESTAURANT,248 DIVISADERO St,San Francisco,CA,94117,37.771117,-122.436976,2016-07-26,87.0,Low Risk,3.5,$,51.0,0730,2000
40,12285,Peet's Coffee Kiosk,1580 Valencia St,San Francisco,CA,94110,37.748118,-122.420474,2016-07-27,100.0,,3.0,$,33.0,0900,1830
41,4057,BIN 55,55 04th St,San Francisco,CA,94103,37.784964,-122.404752,2016-07-29,91.0,Low Risk,,,,,
42,2731,Main Kitchen-Mission Grille,55 04th St,San Francisco,CA,94103,37.784964,-122.404752,2016-07-29,86.0,High Risk,,,,,
43,7880,Ballroom Bakery,55 4th St,San Francisco,CA,94103,37.784964,-122.404752,2016-07-29,94.0,Moderate Risk,,,,,
44,1815,Banquet Kitchen,55 4th St,San Francisco,CA,94103,37.784964,-122.404752,2016-07-29,75.0,High Risk,4.0,$$,805.0,0700,2300
45,66715,Brick and Mortar,1710 Mission St,San Francisco,CA,94103,37.769735,-122.420174,2016-08-09,92.0,Moderate Risk,4.0,$,60.0,0900,2000
46,562,DESTINO RESTAURANT,1815 MARKET St,San Francisco,CA,94103,37.771437,-122.423892,2016-08-10,98.0,Low Risk,,,,,
47,68600,Black Point Cafe,882 North Point St,San Francisco,CA,94109,37.805568,-122.421764,2016-08-10,82.0,High Risk,4.0,$,224.0,0630,1700
48,13623,CAFE MADELEINE,149 NEW MONTGOMERY STREET,San Francisco,CA,94105,37.786803000000006,-122.399681,2016-08-10,87.0,Low Risk,,,,,
